id;uid;code;name;short_name;description;created;last_updated
1;withdrawal;Comoro;bandwidth initiatives Iowa;Fresh bandwidth;digital payment User-centric;2021-10-31T22:58:04;2021-10-31T14:25:38
2;generating;ability Ball;Incredible Gorgeous;maroon;protocol bypass sensor;2021-10-31T13:01:01;2021-10-31T21:52:33
3;Human Home;Director;Officer Bedfordshire;Persevering Dinar Hat;Tasty Shoes Data;2021-10-31T18:28:56;2021-10-31T14:43:06
4;Knolls;Rubber Practical overriding;Cambridgeshire;vortals intranet;state;2021-10-31T14:15:23;2021-10-31T19:49:49
5;Cheese Car;Guilder Cambridgeshire;scalable Legacy application;Jewelery Beauty;invoice;2021-10-31T02:35:44;2021-10-31T10:37:32
6;unleash;Drive;Decentralized;world-class Loan Licensed;Expressway Kentucky;2021-10-31T21:16:15;2021-10-31T03:02:29
7;Profound in;primary Bedfordshire;transmit Sausages;Cameroon Paradigm;Springs Awesome;2021-10-31T09:28:20;2021-10-31T07:48:33
8;withdrawal ;applications Regional;Account;Intelligent networks capacitor;methodology;2021-10-31T19:33:55;2021-10-31T09:00:54
9;Liaison;Account deliver;Senior;Movies Tools Delaware;holistic CSS;2021-10-31T09:14:56;2021-10-31T01:29:32
10;Garden inte;magenta mobile;Moldovan deliverables;Market;deposit Generic;2021-10-31T01:12:04;2021-10-31T01:53:12
