id;uid;code;description;created;last_updated;mobile;district_id
1;optical Key;AGP Functionality Louisiana;Unbranded;2021-10-31T06:09:36;2021-10-31T13:57:09;Concrete enhance;1
2;green calcu;interface;Assistant Profound Fantastic;2021-10-31T06:30:05;2021-10-31T02:21:57;Namibia infomediaries;2
3;bluetooth;Frozen uniform;knowledge Salad gold;2021-10-31T22:35:04;2021-10-31T13:52:49;digital project;3
4;dedicated L;Direct Borders;Analyst;2021-10-31T04:09:40;2021-10-31T20:14:51;IB International;4
5;Streets Pra;client-driven Regional;Alaska;2021-10-31T21:27:59;2021-10-31T06:15:57;Cotton Fresh invoice;5
6;Kuwait FTP;deposit;Profit-focused Operative;2021-10-31T21:05:59;2021-10-31T21:57:53;copying Portugal olive;6
7;South initi;Chief;TCP;2021-10-31T08:05:22;2021-10-31T14:33:16;experiences Terrace Salad;7
8;Minnesota;bluetooth quantifying compressing;Engineer rich Human;2021-10-31T10:07:53;2021-10-31T02:41:38;transmitter Auto;8
9;Missouri Ju;synthesizing Account;Cambridgeshire initiative bluetooth;2021-10-31T06:58:14;2021-10-31T22:18:27;Liaison convergence;9
10;Plastic;Route Officer;integrate Wisconsin Ethiopia;2021-10-31T16:31:02;2021-10-31T00:59:07;optimize Forest;10
