id;uid;created;last_updated;tested;positive;drugs_given;supps_given;rdt_balance;rdt_received;rdt_used;rdt_damaged_lost;drugs_balance;drugs_received;drugs_used;drugs_damaged_lost;supps_balance;supps_received;supps_used;supps_damaged_lost;comment;chv_id;period_id
1;pink global;2021-10-31T08:24:18;2021-10-31T02:10:00;509;43077;50457;29349;220;93650;20043;45706;57318;20021;55341;44008;61969;99456;36351;8358;Cotton;1;1
2;Cameroon Em;2021-10-31T07:30:01;2021-10-31T00:08:37;6918;31813;28451;91847;34845;53681;50852;25467;17594;12710;55202;75479;22242;78152;64313;60643;Arkansas Granite Franc;2;2
3;Concrete ca;2021-10-31T06:52:34;2021-10-31T05:10:26;70656;88336;85047;72849;37931;75026;27149;7297;45688;9111;43902;95547;35604;51648;67904;22918;Pines Handcrafted compressing;3;3
4;Faso;2021-10-31T22:36:43;2021-10-31T14:16:24;21312;8084;13568;82630;81325;33773;79276;87557;55715;26489;30097;87159;63085;58059;21453;34553;multi-tasking digital Awesome;4;4
5;purple;2021-10-31T10:05:25;2021-10-31T23:10:40;85401;21352;11603;76090;85736;4089;52132;42730;43387;13765;9628;94774;87548;13340;31233;80037;infomediaries high-level incubate;5;5
6;Multi-chann;2021-10-31T10:17:40;2021-10-31T23:04:11;6175;61460;47329;30569;85380;89190;18508;32949;24751;65743;5351;88237;41147;65537;7496;71332;program;6;6
7;Clothing;2021-10-31T04:24:18;2021-10-31T20:21:54;12308;44770;49029;7147;11961;60958;69076;58421;74719;83022;44772;8827;8204;48767;24452;60776;reintermediate communities;7;7
8;multi-byte;2021-10-31T06:17:54;2021-10-31T15:52:24;63311;9651;23367;89314;37000;7118;1275;45851;73139;66170;11886;95766;53742;21676;44266;97630;Account;8;8
9;Tuna Virgin;2021-10-31T03:57:09;2021-10-31T07:50:08;40366;49517;7606;3904;90176;96831;52049;26185;71316;7362;18994;94772;98571;76073;50374;86395;maroon indigo Auto;9;9
10;Alaska;2021-10-31T06:03:20;2021-10-31T03:53:52;54364;10920;96149;91775;34829;42981;2246;99141;67835;20425;42295;45959;37241;11072;58566;60266;Shoes wireless;10;10
