id;uid;code;name;description;created;last_updated;team_no;team_type
1;Metal data-;Shirt;Franc Table;Kwanza deposit Fresh;2021-10-31T14:58:13;2021-10-31T15:12:52;"910129429195";PARTNER
2;Michigan pr;Operative COM;payment;Cross-platform;2021-10-30T23:50:49;2021-10-31T04:14:05;"818643342860";SUPERVISOR
3;override pi;payment;vertical Function-based Card;Cotton HDD GB;2021-10-31T06:50:03;2021-10-31T04:44:31;"7681";PARTNER
4;Samoa;Rubber initiatives infrastructures;Liechtenstein deposit e-markets;redundant Regional users;2021-10-31T19:52:59;2021-10-31T14:11:54;"06662";EVALUATION
5;back;invoice up quantify;Michigan;Handmade;2021-10-31T17:55:35;2021-10-31T21:58:02;"4883801";PARTNER
6;Fresh;Missouri;Loan Chair Chicken;mobile;2021-10-31T02:34:17;2021-10-31T05:11:55;"59916830356";EVALUATION
7;Car;Vanuatu Reunion Programmable;Territories Executive Cross-platform;hacking Switchable maximize;2021-10-31T02:56:14;2021-10-31T17:57:11;"5167289";HEAD_OF_ACTIVITY
8;District pr;ADP;Egyptian;Intranet;2021-10-31T02:14:36;2021-10-31T07:38:42;"3";EVALUATION
9;Customer;maroon;Berkshire project;Metrics Caribbean;2021-10-31T08:34:04;2021-10-31T19:17:34;"78";SUPERVISOR
10;Balanced at;leverage;Estonia Massachusetts info-mediaries;blue eyeballs;2021-10-31T13:32:31;2021-10-31T15:08:47;"4";PARTNER
