id;created;last_updated;date;level;total_population;male_population;female_population;less_than_5_population;greater_than_5_population;bw_5_and_15_population;greater_than_15_population;household;houses;health_facilities;avg_no_of_rooms;avg_room_area;avg_house_area;individuals_per_household;population_growth_rate;comment;source_id
1;2021-10-31T13:31:20;2021-10-31T09:51:02;2021-10-31;DISTRICT_LEVEL;85986;74570;90005;20402;68471;15221;89791;76786;5066;72739;19775;50986;93098;39726;77778;Pants Pass;1
2;2021-10-31T17:56:09;2021-10-31T05:58:21;2021-10-31;DISTRICT_LEVEL;32373;11298;82307;78194;30130;72780;13194;33910;12759;62361;38806;29972;53690;45828;94536;1080p bypass Baby;2
3;2021-10-31T18:36:58;2021-10-31T01:47:59;2021-10-31;SUBVILLAGE_LEVEL;9849;82390;21136;38489;28893;90904;61173;35194;98283;54685;16831;81466;12141;14072;50620;Garden;3
4;2021-10-31T21:17:21;2021-10-31T16:50:37;2021-10-31;DISTRICT_LEVEL;7749;1577;98233;48324;38333;28782;56512;87090;15288;19197;10059;27670;727;94196;20800;magenta Internal Chips;4
5;2021-10-31T03:05:33;2021-10-31T15:53:45;2021-10-31;SUBVILLAGE_LEVEL;74126;95779;95824;79819;29214;1657;10727;85417;62156;78771;4447;53211;87437;51503;10969;Engineer Alabama Visionary;5
6;2021-10-31T09:52:44;2021-10-31T13:50:41;2021-10-31;DISTRICT_LEVEL;26685;92274;44081;26120;36433;80571;91111;50544;73633;85403;41160;91556;59725;44170;47539;portals;6
7;2021-10-31T17:30:03;2021-10-31T14:20:57;2021-10-31;DISTRICT_LEVEL;41893;25275;99630;12251;36246;57326;97952;18373;41268;66781;10543;62902;38991;6449;17347;harness Auto Incredible;7
8;2021-10-31T13:19:04;2021-10-31T03:01:27;2021-10-31;DISTRICT_LEVEL;98759;27637;26271;90238;69152;69199;59945;93696;60671;57807;40318;61380;62726;44644;9296;HTTP sticky;8
9;2021-10-31T15:36:21;2021-10-31T17:54:29;2021-10-31;DISTRICT_LEVEL;77714;65670;79529;50802;25035;37548;65373;50944;93603;55776;62770;58601;46488;8305;24956;Wooden;9
10;2021-10-31T05:48:30;2021-10-31T00:16:25;2021-10-31;SUBVILLAGE_LEVEL;76327;84491;83209;95874;20767;34776;63792;15743;21212;40030;55125;46685;22724;42498;55078;client-driven;10
