id;uid;created;last_updated;rdt_tested;rdt_positive;probable_cases;inpatient_cases;death_cases;treated;suspected_cases;comment;report_class_id;period_id
1;sexy firewa;2021-10-31T05:03:31;2021-10-31T22:58:26;56745;47710;517;94658;37540;62766;96212;SDR Table solid;1;1
2;Analyst;2021-10-31T08:45:37;2021-10-31T05:12:52;91926;47630;79216;33829;8216;25271;72778;Taka transmitter systematic;2;2
3;Electronics;2021-10-31T07:36:47;2021-10-31T19:15:39;56124;66032;60905;43691;48704;93831;37504;synthesizing;3;3
4;transmittin;2021-10-31T21:22:54;2021-10-31T21:53:51;20551;21915;57835;43118;32553;50516;41402;Accounts Nakfa;4;4
5;encryption ;2021-10-31T23:32:23;2021-10-31T18:09:51;24187;21070;96018;79040;77919;52610;62048;Ergonomic optical;5;5
6;Metal;2021-10-31T03:19:52;2021-10-31T02:15:07;57830;38180;38587;8181;12370;57264;38893;Salad;6;6
7;Kids;2021-10-31T19:13:16;2021-10-31T08:02:26;62649;45767;63634;70836;39235;78272;59826;quantifying Viaduct;7;7
8;hacking Gra;2021-10-31T19:43:52;2021-10-31T12:45:45;12756;98045;23273;83071;63065;64857;3422;Auto Usability Islands;8;8
9;Toys;2021-10-31T03:30:59;2021-10-31T17:24:50;6158;3586;14036;61764;30732;41627;62121;parsing driver navigating;9;9
10;Zambia Dale;2021-10-31T19:30:38;2021-10-31T11:19:04;73901;11898;30131;97524;95371;72837;71573;Jamaica;10;10
