id;tested;positive;drugs_given;supps_given;rdt_balance;rdt_received;rdt_used;rdt_damaged_lost;drugs_balance;drugs_received;drugs_used;drugs_damaged_lost;supps_balance;supps_received;supps_used;supps_damaged_lost;comments;period_id;chv_id
1;90930;19418;34528;41983;28840;43040;73049;48454;60293;56157;63846;89839;509;43077;50457;29349;Implementation;1;1
2;57318;20021;55341;44008;61969;99456;36351;8358;23321;13089;37848;84248;60198;52212;14880;9005;Factors Associate;2;2
3;28451;91847;34845;53681;50852;25467;17594;12710;55202;75479;22242;78152;64313;60643;92336;57866;Circles;3;3
4;50072;87224;36684;68565;14744;61018;53461;12290;20487;64008;74478;62302;85088;70216;77309;70656;calculating compress Common;4;4
5;95547;35604;51648;67904;22918;92213;45867;60115;74954;9750;65950;20515;82968;27993;36070;20215;Fresh aggregate;5;5
6;13568;82630;81325;33773;79276;87557;55715;26489;30097;87159;63085;58059;21453;34553;76566;29408;Soft deposit;6;6
7;27842;6766;21152;15235;72280;56824;2292;85401;21352;11603;76090;85736;4089;52132;42730;43387;Tasty;7;7
8;13340;31233;80037;81972;41876;67612;24683;28993;46261;44690;40162;58018;46979;70485;24576;45566;feed Rubber;8;8
9;55973;2742;6175;61460;47329;30569;85380;89190;18508;32949;24751;65743;5351;88237;41147;65537;program;9;9
10;24964;13338;20488;2448;68476;92825;80513;14012;12308;44770;49029;7147;11961;60958;69076;58421;indexing Sleek Loan;10;10
