id;rdt_tested;rdt_positive;rdt_pf;rdt_pv;rdt_pother;micro_tested;micro_positive;micro_pf;micro_pv;micro_mix;micro_pother;probable_cases;inpatient_cases;death_cases;treated;suspected_cases;total_frequents;comments;report_class_id;period_id;reporting_source_id
1;64134;24070;42690;99607;60987;36643;35259;95495;57587;84268;93552;62987;55742;33587;24113;30505;49111;SAS bandwidth Ghana;1;1;1
2;36728;27847;35728;87327;40156;61926;37079;38298;81149;91380;50511;43344;56316;27212;81332;52065;79960;THX copying Wooden;2;2;2
3;55858;33796;63800;44870;20567;33455;77738;44026;79340;82672;64808;85782;23394;65304;76348;28700;93399;haptic;3;3;3
4;86633;56529;43795;54068;92745;74793;83023;86092;35171;20806;90006;35919;60694;50196;55703;81734;16355;Jamaica;4;4;4
5;56058;46209;94364;7788;65339;44025;36349;74400;96632;18486;2237;42883;94091;309;11944;55173;34846;Focused Unbranded;5;5;5
6;8724;5204;45205;34559;67104;30011;73998;83698;23736;63885;26966;26998;50462;39155;82216;3599;2586;instruction;6;6;6
7;37853;67108;53620;44853;8844;31621;82088;25458;32990;69596;43247;81522;87746;42252;85529;61439;12428;card Handmade morph;7;7;7
8;43527;89279;72530;46454;85971;9370;74562;76653;91967;16961;64307;86648;85094;66076;75227;56154;15048;invoice;8;8;8
9;73360;36803;88265;26919;63281;81214;85796;58947;35943;90806;43369;446;4709;93789;93457;94756;71945;Human maroon;9;9;9
10;87163;76363;96033;6081;15964;86679;31793;26112;59384;3773;80697;48604;63094;20267;97039;11501;6067;Kina;10;10;10
