id;uid;name;start_date;end_date;period_type_id
1;ouabcdefghA;200601;2006-01-01;2006-01-31;1008
2;ouabcdefghB;200602;2006-02-01;2006-02-28;1008
3;ouabcdefghC;200603;2006-03-01;2006-03-31;1008
4;ouabcdefghD;200604;2006-04-01;2006-04-30;1008
5;ouabcdefghE;200605;2006-05-01;2006-05-31;1008
6;ouabcdefghF;200606;2006-06-01;2006-06-30;1008
7;ouabcdefghG;200607;2006-07-01;2006-07-31;1008
8;ouabcdefghH;200608;2006-08-01;2006-08-31;1008
9;ouabcdefghI;200609;2006-09-01;2006-09-30;1008
10;ouabcdefghJ;200610;2006-10-01;2006-10-31;1008
11;ouabcdefghK;200611;2006-11-01;2006-11-30;1008
12;ouabcdefghL;200612;2006-12-01;2006-12-31;1008
