id;uid;description;created;last_updated;fingerprint_url;fingerprint_owner
1;Facilitator;Utah;2021-10-31T15:18:16;2021-10-31T22:38:07;Granite;Bike
2;United blue;stable;2021-10-31T05:48:43;2021-10-31T14:33:39;web-enabled override index;Metal
3;overriding;dedicated Mouse Internal;2021-10-31T04:14:10;2021-10-31T02:30:15;Radial Handmade;Pataca
4;Awesome ext;Sausages;2021-10-31T10:57:51;2021-10-31T01:01:56;Rubber executive;programming Books
5;Gloves;cross-platform orchid;2021-10-31T21:52:29;2021-10-31T03:02:25;backing unleash;West Cotton
6;Concrete Co;microchip Guadeloupe;2021-10-31T17:22:39;2021-10-31T12:41:43;HTTP regional Central;parse connect Wooden
7;Customizabl;alarm;2021-10-31T14:07:02;2021-10-31T17:41:50;Functionality Assurance;Salvador Licensed
8;Refined Aut;grow;2021-10-31T07:44:20;2021-10-31T06:47:04;responsive Account;Tasty Grocery magnetic
9;Industrial;Human;2021-10-31T01:37:52;2021-10-31T22:14:35;Avon Cotton;web-readiness Soft
10;National ar;index cultivate;2021-10-31T18:09:12;2021-10-31T16:55:09;Computer Wooden Cambridgeshire;Unbranded EXE
