id;uid;created;last_updated;check_no;male_individuals;female_individuals;less_than_5_males;less_than_5_females;pregnant_women;quantity_received;family_type;comment;day_reached_id;executing_team_id
1;Versatile K;2021-10-31T12:23:40;2021-10-31T00:42:51;62758;12255;79077;63253;62183;65669;48171;IDPS;Incredible Grass-roots Card;1;1
2;fault-toler;2021-10-31T21:26:24;2021-10-31T05:50:29;14033;97935;70482;76935;88527;37496;37440;RESIDENT;withdrawal Corporate;2;2
3;deploy;2021-10-31T21:49:25;2021-10-31T06:37:02;76283;55051;11056;78060;36063;31481;46161;IDPS;States Outdoors;3;3
4;Borders;2021-10-31T13:10:54;2021-10-31T20:50:57;20909;64219;39673;54445;77584;78099;27429;RESIDENT;Generic Senior Cotton;4;4
5;Identity me;2021-10-31T02:11:02;2021-10-31T08:20:12;38933;61474;61281;15902;14935;89131;43246;IDPS;B2C feed;5;5
6;e-tailers;2021-10-31T04:55:50;2021-10-31T20:13:06;80970;92229;75109;73527;6157;80363;35062;IDPS;customized;6;6
7;green Tasty;2021-10-31T15:53:36;2021-10-31T11:20:19;66740;83313;93752;20022;5698;675;14158;RESIDENT;disintermediate;7;7
8;convergence;2021-10-31T21:35:34;2021-10-31T14:47:21;94678;79485;29294;42138;29604;12909;42831;IDPS;Garden capability;8;8
9;Senior Arab;2021-10-31T15:29:37;2021-10-31T15:09:23;92160;83675;30207;43275;97687;87416;22784;RESIDENT;Land;9;9
10;attitude-or;2021-10-31T10:11:39;2021-10-31T15:06:31;29178;65280;4389;16754;76455;68934;44282;RESIDENT;Unions;10;10
