id;uid;created;last_updated;document_no;male_individuals;female_individuals;less_than_5_males;less_than_5_females;pregnant_women;quantity_received;family_type;day_reached_id;llins_family_report_id
1;program for;2021-10-31T20:54:58;2021-10-31T09:00:55;91838;94717;40762;45087;5760;89450;12864;IDPS;1;1
2;transmittin;2021-10-31T03:12:07;2021-10-31T11:37:35;30728;32485;53767;50468;62442;12369;42552;IDPS;2;2
3;quantify mi;2021-10-31T14:10:57;2021-10-31T14:04:29;78578;65782;80186;98585;57261;83874;72949;IDPS;3;3
4;Cotton;2021-10-31T04:51:52;2021-10-31T10:44:49;72166;16508;17470;82076;87110;8175;83203;RESIDENT;4;4
5;Berkshire A;2021-10-31T18:00:02;2021-10-31T03:51:24;59773;14708;6078;39435;70932;77333;55576;IDPS;5;5
6;bus;2021-10-31T08:09:20;2021-10-31T03:14:04;43587;66408;25502;27533;21923;30986;61577;IDPS;6;6
7;efficient S;2021-10-31T01:18:21;2021-10-31T04:49:09;91252;84738;30638;83403;65899;31828;4709;IDPS;7;7
8;Sudanese;2021-10-31T16:57:11;2021-10-31T20:39:04;35595;81224;32353;85489;99259;57784;48743;RESIDENT;8;8
9;virtual;2021-10-31T15:42:00;2021-10-31T13:59:55;29240;80462;70455;63837;27578;69168;5550;IDPS;9;9
10;Jewelery Al;2021-10-31T02:00:27;2021-10-31T14:23:43;88463;81145;51085;77486;90251;30995;28969;IDPS;10;10
