id;uid;created;last_updated;residents_individuals_planned;idps_individuals_planned;quantity_planned;family_type;status_of_family_target;day_planned_id;family_id;team_assigned_id
1;Ameliorated;2021-10-31T15:56:07;2021-10-31T04:59:54;67853;96098;18779;RESIDENT;FAMILY_REFUSED;1;1;1
2;payment;2021-10-31T22:47:59;2021-10-31T09:02:06;40227;64662;82576;IDPS;NOT_REACHED_YET;2;2;2
3;Account asy;2021-10-31T00:22:49;2021-10-31T20:14:00;24633;98809;81440;RESIDENT;NOT_COVERED_OTHER;3;3;3
4;navigate;2021-10-31T09:06:50;2021-10-31T18:01:30;20548;2103;18938;IDPS;NOT_REACHED_YET;4;4;4
5;Indian repu;2021-10-31T01:08:35;2021-10-31T01:28:06;39339;85812;58055;IDPS;FAMILY_REFUSED;5;5;5
6;Licensed ba;2021-10-31T08:54:18;2021-10-31T01:12:35;36952;50377;63381;IDPS;NOT_REACHED_YET;6;6;6
7;IB;2021-10-31T11:54:09;2021-10-31T14:49:56;87183;95682;39537;RESIDENT;NOT_REACHED_YET;7;7;7
8;frictionles;2021-10-31T15:26:12;2021-10-31T07:12:07;96304;30962;1305;RESIDENT;FAMILY_REFUSED;8;8;8
9;multi-byte ;2021-10-31T08:55:39;2021-10-31T05:10:28;21499;46708;63705;IDPS;FAMILY_NOT_EXIST;9;9;9
10;Administrat;2021-10-31T13:20:45;2021-10-31T19:39:29;80262;99492;80837;RESIDENT;NOT_COVERED_OTHER;10;10;10
