id;uid;created;last_updated;houses;resident_household;idps_household;male_individuals;female_individuals;less_than_5_males;less_than_5_females;pregnant_women;quantity_received;comment;day_reached_id;executing_team_id
1;relationshi;2021-10-31T01:06:02;2021-10-31T04:42:20;45211;23006;34282;38275;20575;88762;57106;11837;37844;Point well-modulated invoice;1;1
2;contextuall;2021-10-31T01:40:19;2021-10-31T20:25:09;78932;40641;40471;37450;98486;25620;41503;46153;48655;Cambridgeshire;2;2
3;Meadow Faci;2021-10-31T03:01:44;2021-10-31T00:23:32;90144;6622;46151;34528;50446;43546;10295;69767;75130;lime;3;3
4;invoice dyn;2021-10-31T04:22:20;2021-10-31T00:35:23;24321;47089;91244;46562;25497;56996;60309;70956;33855;bricks-and-clicks black;4;4
5;Fresh Congo;2021-10-31T12:03:48;2021-10-31T17:39:58;95161;86913;27351;772;34892;23661;79387;28157;99375;Diverse bleeding-edge;5;5
6;Books;2021-10-31T14:33:23;2021-10-31T11:43:55;1135;23065;8879;46961;64350;9777;82355;90170;42480;invoice;6;6
7;client-serv;2021-10-31T11:21:27;2021-10-31T11:40:58;71569;2474;1826;94546;31673;77725;27401;73749;29301;Kids program gold;7;7
8;Rustic fram;2021-10-31T19:18:44;2021-10-31T23:21:46;80135;53514;94565;45527;32972;42770;65273;39192;40909;local program;8;8
9;exploit Per;2021-10-31T08:57:15;2021-10-31T09:49:12;38314;2309;93617;93009;16504;62405;73721;80717;62498;card Borders Michigan;9;9
10;Administrat;2021-10-31T16:10:45;2021-10-31T08:06:26;51609;32510;19062;46043;45131;58618;49225;49192;53710;tan Auto;10;10
