id;uid;created;last_updated;houses;resident_household;idps_household;male_individuals;female_individuals;less_than_5_males;less_than_5_females;pregnant_women;quantity_received;day_reached_id;llins_village_report_id
1;Refined Con;2021-10-31T08:29:38;2021-10-31T11:01:14;80129;28009;48198;18215;52083;34183;24791;73156;69249;1;1
2;calculating;2021-10-31T13:43:45;2021-10-31T03:34:44;36418;66127;66834;69274;95274;58933;68544;38498;62642;2;2
3;metrics;2021-10-31T02:44:10;2021-10-31T10:55:42;93858;99020;91783;35810;25371;4639;87183;9196;20988;3;3
4;Books withd;2021-10-31T15:30:05;2021-10-31T20:41:20;86050;5044;28475;6816;28203;92085;30264;30650;80355;4;4
5;magnetic in;2021-10-31T23:10:43;2021-10-31T19:19:22;99577;11033;5983;37545;66921;79854;60284;63149;22290;5;5
6;Forward;2021-10-30T23:59:53;2021-10-31T14:37:14;13565;88436;70509;6499;95816;38580;23806;73109;30221;6;6
7;Accountabil;2021-10-31T05:17:16;2021-10-31T23:21:40;14844;86927;6737;29401;11242;44108;6632;39631;71167;7;7
8;Intuitive I;2021-10-31T01:06:31;2021-10-31T23:37:02;52349;82567;33056;4318;6423;8739;41308;20675;49575;8;8
9;Kong Cotton;2021-10-31T00:00:06;2021-10-31T07:59:43;58136;60835;38388;8854;38334;87105;70971;22234;75120;9;9
10;Franc Rusti;2021-10-31T13:25:36;2021-10-31T20:26:50;6738;29346;80676;26176;90869;98335;82917;76735;75653;10;10
