id;uid;created;last_updated;residents_individuals;idps_individuals;residents_families;idps_families;no_of_days_needed;quantity;organisation_unit_id;day_planned_id;team_assigned_id
1;Application;2021-10-31T05:44:49;2021-10-31T18:34:57;30646;95513;61267;13605;25181;47014;1;1;1
2;solid Georg;2021-10-31T09:08:41;2021-10-31T18:19:53;68913;49659;89669;19152;82919;58647;2;2;2
3;eyeballs ca;2021-10-31T11:16:06;2021-10-31T12:51:40;33950;42052;2654;11786;88904;87736;3;3;3
4;Forward For;2021-10-31T02:37:33;2021-10-31T06:36:58;56995;81225;46575;99914;92861;36154;4;4;4
5;human-resou;2021-10-31T17:18:12;2021-10-31T20:23:06;66315;1561;38148;20763;45232;90184;5;5;5
6;Handcrafted;2021-10-31T22:49:52;2021-10-31T07:12:18;37241;99411;53533;4611;36615;36993;6;6;6
7;District Ac;2021-10-31T22:44:22;2021-10-31T06:41:04;8667;11946;85329;9279;37196;69272;7;7;7
8;circuit uti;2021-10-30T23:49:39;2021-10-31T16:36:54;48634;97370;55644;76623;50553;4367;8;8;8
9;static with;2021-10-31T10:45:03;2021-10-31T08:35:06;60160;22591;56049;32689;56995;42093;9;9;9
10;function Wo;2021-10-31T08:38:41;2021-10-31T03:32:14;23821;58357;28732;83191;31931;55470;10;10;10
