id;uid;created;last_updated;rdt_tested;rdt_positive;rdt_pf;rdt_pv;rdt_pother;micro_tested;micro_positive;micro_pf;micro_pv;micro_mix;micro_pother;probable_cases;inpatient_cases;death_cases;treated;suspected_cases;total_frequents;comment;report_class_id;period_id
1;Managed Mar;2021-10-31T00:48:29;2021-10-31T09:54:20;84268;93552;62987;55742;33587;24113;30505;49111;93515;85882;80514;76962;72045;10746;95968;53092;32712;B2B;1;1
2;benchmark e;2021-10-31T17:11:44;2021-10-31T04:12:25;52065;79960;72376;85741;65471;2642;82109;33745;27222;14651;9425;45931;55858;33796;63800;44870;20567;index quantifying;2;2
3;invoice;2021-10-31T01:18:39;2021-10-31T23:05:46;79452;53654;59638;86633;56529;43795;54068;92745;74793;83023;86092;35171;20806;90006;35919;60694;50196;hacking Jamaica;3;3
4;Village wit;2021-10-31T05:52:14;2021-10-31T00:32:06;18486;2237;42883;94091;309;11944;55173;34846;50672;23211;29267;81440;8197;91227;42681;8724;5204;open-source bus;4;4
5;didactic re;2021-10-31T23:06:21;2021-10-31T20:14:29;30071;51471;25228;37853;67108;53620;44853;8844;31621;82088;25458;32990;69596;43247;81522;87746;42252;Account card Handmade;5;5
6;24/7 Intern;2021-10-31T03:05:37;2021-10-31T21:28:39;74562;76653;91967;16961;64307;86648;85094;66076;75227;56154;15048;14535;64776;96783;93874;73360;36803;modular HDD District;6;6
7;Factors;2021-10-31T06:27:35;2021-10-31T13:17:41;91303;87644;33874;19149;39828;17856;87163;76363;96033;6081;15964;86679;31793;26112;59384;3773;80697;deposit Steel;7;7
8;invoice tan;2021-10-31T13:32:42;2021-10-31T09:35:08;27960;9154;21651;41955;71735;63695;39935;70723;2539;17010;80451;99244;83754;37833;9586;96811;14400;green;8;8
9;Vermont;2021-10-31T03:11:05;2021-10-31T18:49:40;21090;40410;77480;83581;71989;30854;39085;88912;98743;65500;3432;12916;42637;37374;45928;74744;87072;Small CSS teal;9;9
10;Chips;2021-10-31T04:07:36;2021-10-31T22:58:29;76455;51525;81435;74527;48984;81616;23836;86807;72500;65894;15970;60523;36426;68170;93027;18616;30391;Rubber Soft stable;10;10
