id;uid;code;name;short_name;created;last_updated;symbol;color
1;Shilling ex;24/7 Data navigating;Cloned Iraq;Gloves;2021-10-31T03:01:31;2021-10-31T05:39:05;invoice;purple
2;Bike olive;payment Points Mobility;innovate Ukraine;Florida holistic;2021-10-31T19:03:03;2021-10-31T08:33:15;Borders;turquoise
3;Iowa;e-tailers;challenge e-enable;synergies;2021-10-31T23:03:24;2021-10-31T13:38:16;feed bluetooth;plum
4;disintermed;Accountability background;Towels port Dinar;connect Garden TCP;2021-10-31T11:06:37;2021-10-31T09:14:37;secondary Lead;azure
5;Inverse;digital strategic;cyan Cambridgeshire;Knolls;2021-10-31T06:10:51;2021-10-31T00:29:52;Unbranded;cyan
6;data-wareho;sticky;moderator Islands;program Sudan client-server;2021-10-31T17:11:37;2021-10-31T13:58:05;Proactive;teal
7;Solutions O;South;IB Virtual Wooden;Borders Massachusetts;2021-10-31T22:42:26;2021-10-31T02:24:01;Incredible Books wireless;olive
8;payment Cam;Utah Account Practical;RSS multi-byte Account;Accountability Kwanza;2021-10-31T17:57:01;2021-10-31T05:45:23;Quality;lavender
9;silver Roma;capability;Drive Berkshire;Money AGP;2021-10-31T15:53:40;2021-10-31T08:16:06;indigo;mint green
10;Springs;Centralized invoice;Fantastic up SDD;User-centric Stravenue Money;2021-10-31T08:36:00;2021-10-31T13:07:03;District Money Monaco;violet
