id;uid;code;name;created;last_updated;compulsory;include_subhierarchy_in_analytics
1;infrastruct;Bedfordshire Awesome SMTP;open-source;2021-10-31T16:12:22;2021-10-31T01:50:26;true;true
2;tan Bucking;Chair Frozen;capacitor array capacitor;2021-10-31T07:55:27;2021-10-31T17:46:53;false;false
3;Saint New;input;Squares;2021-10-31T12:55:23;2021-10-31T02:08:48;true;false
4;management;Ariary;solid quantifying;2021-10-31T05:47:02;2021-10-31T01:11:36;false;true
5;Awesome Tok;bus Beauty;modular Plastic;2021-10-31T09:38:58;2021-10-31T14:05:44;true;false
6;Account wit;hacking SMTP;monetize Small;2021-10-31T04:30:35;2021-10-31T01:32:41;false;false
7;payment Avo;Automotive Fantastic;Right-sized redefine;2021-10-31T17:53:57;2021-10-31T09:57:54;true;true
8;ivory Cambr;grow SCSI;Frozen transmitting Branding;2021-10-31T08:19:26;2021-10-31T05:52:32;true;true
9;Fantastic P;Rustic Ball Cheese;application Corporate Namibia;2021-10-31T16:23:00;2021-10-30T23:58:46;true;false
10;Generic inv;Gloves Rustic Ball;Squares;2021-10-31T04:13:46;2021-10-31T09:26:48;false;false
