id;uid;code;name;created;last_updated;is_displayed
1;contextuall;Table Micronesia;Center;2021-10-31T06:00:45;2021-10-31T08:13:59;true
2;utilize;Concrete USB;benchmark European;2021-10-31T12:25:08;2021-10-31T14:25:31;true
3;Keyboard Ac;optical;vortals revolutionary;2021-10-31T15:01:16;2021-10-31T21:57:33;false
4;Licensed Be;Prairie;neural;2021-10-31T20:19:06;2021-10-31T02:04:56;false
5;payment;Keyboard Optional Carolina;iterate Multi-lateral Specialist;2021-10-31T07:10:32;2021-10-31T17:31:15;true
6;firewall AD;Up-sized Jewelery application;calculate back-end;2021-10-31T15:46:49;2021-10-31T05:05:35;true
7;ivory deliv;invoice digital parsing;Berkshire Vision-oriented empowering;2021-10-31T04:55:49;2021-10-31T22:38:30;false
8;Account wit;world-class;indexing Bedfordshire;2021-10-31T00:00:23;2021-10-31T11:46:25;true
9;Plastic;lime;GB calculating;2021-10-31T20:36:31;2021-10-31T04:33:08;false
10;Ecuador;compelling;Cote;2021-10-31T21:38:19;2021-10-31T13:24:18;false
