id;uid;code;name;created;last_updated;team_no;team_type
1;Nigeria;Analyst;Gabon Orchestrator;2021-10-31T10:50:27;2021-10-31T20:41:36;27161;WH_SUPERVISOR
2;Fords;payment Generic;content Account action-items;2021-10-31T10:17:54;2021-10-31T10:28:35;43109;FIELD_TEAM_LEADER
3;Pennsylvani;Ghana;asymmetric;2021-10-31T10:17:09;2021-10-31T14:14:44;52705;HEAD_OF_CAMPAIGN
4;Technician ;best-of-breed Prairie deposit;override;2021-10-31T19:55:53;2021-10-31T05:39:17;5482;WH_SUPERVISOR
5;collaborati;Computers;Mouse United;2021-10-31T16:12:58;2021-10-31T01:56:48;52209;HEAD_OF_CAMPAIGN
6;Branding By;Accountability Villages support;generating Specialist;2021-10-31T22:40:44;2021-10-31T13:00:56;83742;WORKER
7;quantify Lo;interfaces Ergonomic;Awesome HDD;2021-10-31T22:15:03;2021-10-31T07:23:26;13585;PARTNER
8;Generic Fro;recontextualize;value-added Wyoming Savings;2021-10-31T00:52:38;2021-10-31T01:00:06;83310;FIELD_TEAM_LEADER
9;XSS SDD;Credit;Assurance Dollar;2021-10-31T08:48:20;2021-10-31T12:33:14;9857;OR_MEMBER
10;Units Pract;Account;Benin New;2021-10-31T15:21:09;2021-10-31T12:52:48;65635;HEAD_OF_CAMPAIGN
