id;movement_type;quantity;reconciliation_source;reconciliation_destination;confirmed_by_other_side;comment;day_id;initiatedwh_id
1;IN;14059;Keyboard Bridge;Sharable up;true;content-based engage Michigan;1;1
2;RECONCILIATION_OUT;88367;Fresh New IB;Fresh connecting;false;Director;2;2
3;RECONCILIATION_OUT;22739;Fish Tactics killer;connect Green;true;compress Chips;3;3
4;OUT;47192;Music schemas;archive reintermediate mindshare;true;brand applications copy;4;4
5;RECONCILIATION_IN;36553;frictionless Group;the Washington Security;false;Virginia;5;5
6;OUT;86812;Checking;Squares;true;Hungary back-end;6;6
7;OUT;36640;Forward;Central Granite;false;capacitor Guatemala Tuna;7;7
8;IN;27939;open-source Dollar;Manager Face optimizing;true;Computer Metal gold;8;8
9;RECONCILIATION_IN;8244;payment transmit transform;interface;false;Regional bluetooth;9;9
10;RECONCILIATION_IN;83749;Bacon ADP compressing;array;false;empower Synergistic;10;10
